Time,i-007cedaa59161cb76(SIL-REVERSEP02),i-07c71afee5b3ae140(SIL-REVERSEP01)
2025/11/07 08:30:00,14.428048848158378,13.264105374470455
2025/11/07 08:35:00,14.430682640792895,13.266666445339556
2025/11/07 08:40:00,14.433368603389562,13.26495590294427
2025/11/07 08:45:00,14.435653015368478,13.266293351064798
2025/11/07 08:50:00,14.438171401723093,13.269028321807724
2025/11/07 08:55:00,14.440662912642662,13.272406722083812
2025/11/07 09:00:00,14.44375200676502,13.276305241073441
2025/11/07 09:05:00,14.447364381416804,13.280564207074278
2025/11/07 09:10:00,14.451058963281673,13.284714090426984
2025/11/07 09:15:00,14.45485472325495,13.289512146036685
2025/11/07 09:20:00,14.459252809154847,13.294107845429574
2025/11/07 09:25:00,14.463383721612232,13.298461665907041
2025/11/07 09:30:00,14.467182643401395,13.30274750734292
2025/11/07 09:35:00,14.471264547712513,13.307167725954034
2025/11/07 09:40:00,14.475408107433447,13.31179662441374
2025/11/07 09:45:00,14.479022062993176,13.31635438201597
2025/11/07 09:50:00,14.48274826301692,13.320742982468207
2025/11/07 09:55:00,14.487075208059341,13.32517268652698
2025/11/07 10:00:00,14.486539280266365,13.329760481380145
2025/11/07 10:05:00,14.489818083341987,13.334171214543597
2025/11/07 10:10:00,14.49421775014983,13.338909195651429
2025/11/07 10:15:00,14.49936834823102,13.343838466620474
2025/11/07 10:20:00,14.504273905580906,13.348573285912419
2025/11/07 10:25:00,14.508461730724264,13.35335395153474
2025/11/07 10:30:00,14.5134589807349,13.358566205025738
2025/11/07 10:35:00,14.518116335537593,13.363049659954607
2025/11/07 10:40:00,14.522819536670662,13.367452488578337
2025/11/07 10:45:00,14.527535385067281,13.372013407996453
2025/11/07 10:50:00,14.532817198507814,13.377097607944
2025/11/07 10:55:00,14.538973254041315,13.381845074499495
2025/11/07 11:00:00,14.545685789171065,13.386402832101727
2025/11/07 11:05:00,14.550333658526096,13.390802498909569
2025/11/07 11:10:00,14.555158589570846,13.39564956266553
2025/11/07 11:15:00,14.559784326214665,13.400373315601872
2025/11/07 11:20:00,14.564359473804277,13.404350879988693
2025/11/07 11:25:00,14.569179662125194,13.40827943622926
